name,category,province,regency,latitude,longitude,qid,images
Air Terjun Lubuk Tempurung,air-terjun,Sumatera Barat,Kota Padang,-0.863024,100.432033,,
Air Terjun Pancaro Rayo,air-terjun,Jambi,Kerinci,-2.186647,101.43834,,
Air Terjun Talang Kemulun,air-terjun,Jambi,Kerinci,-2.048295,101.61009,,
Air Terjun Bajuin,air-terjun,Kalimantan Tengah,Kota Palangka Raya,-3.769922,114.874721,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Air_Terjun_Bajuin.jpg/960px-Air_Terjun_Bajuin.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Air%20Terjun%20Bajuin.jpg?width=800
Curug Bayan,air-terjun,Jawa Tengah,Cilacap,-7.324619,109.218251,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Curug_Bayan_%282026%29_01.jpg/960px-Curug_Bayan_%282026%29_01.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Curug%20Bayan%20%282026%29%2001.jpg?width=800
Air Terjun Sigerincing,air-terjun,Jambi,Merangin,-2.378309,101.907754,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Air_Terjun_Sigerincing_Merangin.jpg/960px-Air_Terjun_Sigerincing_Merangin.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Air%20Terjun%20Sigerincing%20Merangin.jpg?width=800
Air Terjun Jami,air-terjun,Sulawesi Selatan,Maros,-5.142617,119.806867,,
Air Terjun Banyumala,air-terjun,Bali,Buleleng,-8.217187,115.101681,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Banyumala_Waterfall.jpg/960px-Banyumala_Waterfall.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Banyumala%20Waterfall.jpg?width=800
Air Terjun Tiu Kelep,air-terjun,Nusa Tenggara Barat,Lombok Utara,-8.305494,116.408122,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Tiu_Kelep.jpg/960px-Tiu_Kelep.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Tiu%20Kelep.jpg?width=800
Air terjun Anenderat,air-terjun,Maluku,Maluku Tengah,-0.870556,132.735556,,
