name,category,province,regency,latitude,longitude,qid,images
Pulau Toropou,pulau,Sulawesi Selatan,Selayar,-6.321206,120.4469,,
Pulau Ujung Salama',pulau,Sulawesi Selatan,Selayar,-7.0636,120.565475,,
Pulau Balantang,pulau,Sulawesi Tengah,Poso,-2.692778,121.042219,,
Pulau Bete,pulau,Sulawesi Tengah,Poso,-2.642956,121.056256,,
Pulau Caria,pulau,Sulawesi Tengah,Poso,-2.678753,121.051869,,
Pulau Caria Lampe,pulau,Sulawesi Tengah,Poso,-2.676111,121.055831,,
Pulau Langkara,pulau,Sulawesi Tengah,Poso,-2.668892,120.977214,,
Pulau Lanipanipa,pulau,Sulawesi Tengah,Poso,-2.668611,121.044167,,
Pulau Onrongalang,pulau,Sulawesi Tengah,Poso,-2.638611,121.01635,,
Pulau Biro,pulau,Sulawesi Tengah,Poso,-2.835092,120.4115,,
Pulau Gusung Lacekkeng,pulau,Sulawesi Tengah,Poso,-2.851975,120.344531,,
Pulau Lamko Miko,pulau,Sulawesi Tengah,Poso,-2.876469,120.3282,,
Pulau Lasori Beccu,pulau,Sulawesi Tengah,Poso,-2.898075,120.318944,,
Pulau Lasori Maraja,pulau,Sulawesi Tengah,Poso,-2.897939,120.315342,,
Pulau Lompongangnge,pulau,Sulawesi Tengah,Poso,-2.853917,120.344106,,
Pulau Ulau Lawatu,pulau,Sulawesi Tengah,Poso,-2.909506,120.292314,,
Pulau Welawi,pulau,Sulawesi Tengah,Poso,-2.8755,120.339628,,
Pulau Welawi Becu,pulau,Sulawesi Tengah,Poso,-2.8916,120.323675,,
Pulau Welawi Maraja,pulau,Sulawesi Tengah,Poso,-2.866403,120.313664,,
Pulau Hanibung,pulau,Kalimantan Barat,Sintang,-2.333331,112.875831,,
Pulau Ilu,pulau,Kalimantan Timur,Kota Samarinda,-0.44,117.6,,
Pulau Jerang,pulau,Kalimantan Timur,Kota Samarinda,-0.573472,117.015647,,
Pulau Merdeka,pulau,Kalimantan Timur,Kota Samarinda,-0.829039,117.256692,,
Pulau Merdeka Tengah,pulau,Kalimantan Timur,Kota Samarinda,-0.848919,117.257719,,
Pulau Merdeka Utara,pulau,Kalimantan Timur,Kota Samarinda,-0.841364,117.257672,,
Pulau Pegah,pulau,Kalimantan Timur,Kota Samarinda,-0.779606,117.288739,,
Pulau Perangatan Kecil,pulau,Kalimantan Timur,Kota Samarinda,-0.89,117.34,,
Pulau Seleteh,pulau,Kalimantan Timur,Kota Samarinda,-0.516483,117.500375,,
Pulau Sungaikelambu,pulau,Kalimantan Timur,Kota Samarinda,-0.656061,117.361425,,
Pulau Tiga Selatan,pulau,Kalimantan Timur,Kota Samarinda,-0.77,117.47,,
Pulau Pemantuan,pulau,Kalimantan Timur,Kota Bontang,1.102044,117.914081,,
Pulau Baruka,pulau,Sulawesi Tengah,Poso,-2.941311,120.203878,,
Pulau Ulau Kucing,pulau,Sulawesi Tengah,Poso,-2.945611,120.193314,,
Pulau Karangan Satunggul Barat,pulau,Sulawesi Selatan,Bantaeng,-7.540547,117.967975,,
Pulau Karangan Satunggul Besar,pulau,Sulawesi Selatan,Bantaeng,-7.536022,117.983617,,
Pulau Karangan Satunggul Kecil,pulau,Sulawesi Selatan,Bantaeng,-7.532192,117.986992,,
Pulau Karangan Satunggul Timur,pulau,Sulawesi Selatan,Bantaeng,-7.535394,117.988953,,
Pulau Karangan Satunggul Utara,pulau,Sulawesi Selatan,Bantaeng,-7.530331,117.982931,,
Pulau Pattayangang,pulau,Sulawesi Selatan,Selayar,-6.864822,119.150317,,
Pulau Pelokan Caddi,pulau,Sulawesi Selatan,Bantaeng,-7.186503,118.397286,,
Pulau Pelokan Lompo,pulau,Sulawesi Selatan,Bantaeng,-7.196028,118.376069,,
Pulau Sarassang Caddi,pulau,Sulawesi Selatan,Kota Makassar,-7.198889,118.186667,,
Pulau Ulau Batu Batu,pulau,Sulawesi Barat,Polewali Mandar,-3.700214,119.549006,,
Pulau Dapo,pulau,Sulawesi Barat,Polewali Mandar,-3.993056,119.602778,,
Pulau Gusung Samaenre,pulau,Sulawesi Barat,Polewali Mandar,-3.641564,119.460722,,
Pulau Kaliang,pulau,Sulawesi Barat,Polewali Mandar,-3.708758,119.543914,,
Pulau Lawakkoang,pulau,Sulawesi Barat,Polewali Mandar,-3.998331,119.597219,,
Pulau Tanjunge,pulau,Sulawesi Barat,Polewali Mandar,-3.711225,119.490936,,
Pulau Ulau Bakoko,pulau,Sulawesi Barat,Polewali Mandar,-3.705431,119.547878,,
Pulau Ulau Libukang Kecil,pulau,Sulawesi Barat,Polewali Mandar,-3.926011,119.574,,
Pulau Kaja,pulau,Kalimantan Barat,Kapuas Hulu,-1.948331,113.758056,,
Pulau Rantau Besar,pulau,Kalimantan Selatan,Kotabaru,-1.904936,116.274936,,
Pulau Rantau Kecil,pulau,Kalimantan Selatan,Kotabaru,-1.917158,116.232964,,
Pulau Baru Ulu,pulau,Kalimantan Timur,Kota Balikpapan,-1.122219,116.70805,,
Pulau Datuk,pulau,Kalimantan Timur,Kota Balikpapan,-1.131942,116.715278,,
Pulau Idoh,pulau,Kalimantan Timur,Kota Balikpapan,-1.198417,116.703228,,
Pulau Maridan,pulau,Kalimantan Timur,Kota Balikpapan,-1.128889,116.709442,,
Pulau Sabut,pulau,Kalimantan Timur,Kota Balikpapan,-1.047047,116.726942,,
Pulau Sera,pulau,Kalimantan Timur,Kota Balikpapan,-1.203778,116.701014,,https://upload.wikimedia.org/wikipedia/commons/a/ac/COLLECTIE_TROPENMUSEUM_Het_huis_van_de_posthouder_op_het_eiland_Sera_TMnr_60039379.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
Pulau Kanalosatu,pulau,Sulawesi Selatan,Bulukumba,-5.043253,120.3971,,
Pulau Katindoang,pulau,Sulawesi Selatan,Bulukumba,-5.068053,120.399894,,
Pulau Labbotallua,pulau,Sulawesi Selatan,Kota Makassar,-5.459567,119.280828,,
Pulau Lakatong,pulau,Sulawesi Selatan,Kota Makassar,-5.523675,119.446942,,
Pulau Nane Nane,pulau,Sulawesi Selatan,Kota Makassar,-5.509389,119.448286,,
Pulau Pokko,pulau,Sulawesi Selatan,Kota Makassar,-5.419175,119.365061,,
Pulau Ulau Gusung Lompoa,pulau,Sulawesi Selatan,Kota Makassar,-5.481864,119.404728,,
Pulau Karang Panjang,pulau,Sumatera Selatan,Banyuasin,-1.978231,106.159289,,
Pulau Manipa,pulau,Maluku,Buru,-3.309903,127.576203,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2_%D0%9C%D0%B0%D0%BD%D0%B8%D0%BF%D0%B0.svg/960px-%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2_%D0%9C%D0%B0%D0%BD%D0%B8%D0%BF%D0%B0.svg.png?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Pulau Tapa Da'a,pulau,Gorontalo,Gorontalo,0.487444,122.325956,,
Pulau Bolas,pulau,Gorontalo,Gorontalo,0.923556,123.080414,,
Pulau Lasobonti,pulau,Sulawesi Tengah,Poso,-2.866339,121.534,,
Pulau Lengkobale,pulau,Sulawesi Tengah,Poso,-2.912028,121.48,,
Pulau Malotong,pulau,Sulawesi Tengah,Poso,-2.819469,121.478,,
Pulau Nakote,pulau,Sulawesi Tengah,Poso,-2.655919,121.662458,,
Pulau Tinabo,pulau,Sulawesi Selatan,Selayar,-6.55,121.083333,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Sunrise_di_Pulau_Tinabo.jpg/960px-Sunrise_di_Pulau_Tinabo.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Pulau Tolping,pulau,Sumatera Utara,Kota Pematangsiantar,2.712222,98.813056,,
Pulau Batang Larona,pulau,Sulawesi Tengah,Poso,-2.753628,121.338,,
Pulau Bongo,pulau,Sulawesi Tengah,Poso,-2.532219,121.464,,
Pulau Kampi Langkai,pulau,Sulawesi Tengah,Poso,-2.537378,121.412625,,
Pulau Kampi Ote,pulau,Sulawesi Tengah,Poso,-2.536039,121.407,,
Pulau Kunene,pulau,Sulawesi Tengah,Poso,-2.540578,121.412339,,
Pulau Langkai Bure,pulau,Sulawesi Tengah,Poso,-2.473778,121.264,,
Pulau Tapparang Masapi,pulau,Sulawesi Tengah,Poso,-2.837169,121.345764,,
Pulau Pontaha,pulau,Sulawesi Tengah,Poso,-2.762322,121.347281,,
Pulau Tonua,pulau,Sulawesi Selatan,Selayar,-7.374025,121.056633,,
Pulau Batu Loang,pulau,Sulawesi Selatan,Kota Parepare,-4.255556,119.609442,,
Pulau Bulubetta,pulau,Sulawesi Selatan,Bulukumba,-4.951692,120.314114,,
Pulau Gusung Polewali,pulau,Sulawesi Selatan,Bulukumba,-5.086742,120.285094,,
Pulau Lamputoa'e,pulau,Sulawesi Selatan,Bulukumba,-5.08685,120.275139,,
Pulau Ulau Angkue,pulau,Sulawesi Selatan,Bulukumba,-5.053131,120.292383,,
Pulau Ulau Bulopu,pulau,Sulawesi Selatan,Bulukumba,-5.037469,120.310169,,
Pulau Asmara,pulau,Sulawesi Selatan,Bulukumba,-5.563772,120.186528,,
Pulau Batu Kasuso,pulau,Sulawesi Selatan,Bulukumba,-5.560961,120.446486,,
Pulau Batu Taha,pulau,Sulawesi Selatan,Bulukumba,-5.565658,120.447447,,
Pulau Bili,pulau,Sulawesi Selatan,Bulukumba,-5.463894,120.42565,,
Pulau Pararang,pulau,Sulawesi Selatan,Bulukumba,-5.564103,120.187164,,
Pulau Samboang,pulau,Sulawesi Selatan,Bulukumba,-5.476678,120.451458,,
Gili Gili,pulau,Sulawesi Selatan,Selayar,-7.239633,121.747203,,
Gili Gili Pangka,pulau,Sulawesi Selatan,Selayar,-7.369381,121.048003,,
Gili Sui,pulau,Sulawesi Selatan,Selayar,-7.301594,121.704283,,
Pulau Bakka',pulau,Sulawesi Selatan,Selayar,-7.132778,120.761389,,
Pulau Batu,pulau,Sulawesi Selatan,Selayar,-7.27035,120.795411,,
Pulau Batu Ki'di',pulau,Sulawesi Selatan,Selayar,-7.0215,120.753386,,
Pulau Batu Ampangan,pulau,Sulawesi Selatan,Selayar,-6.204536,120.405003,,
Pulau Batu Bissa,pulau,Sulawesi Selatan,Selayar,-6.233642,120.444383,,
Pulau Batu Dampoong,pulau,Sulawesi Selatan,Selayar,-6.442581,120.510428,,
Pulau Batu Giligili,pulau,Sulawesi Selatan,Selayar,-7.368161,121.0465,,
Pulau Batu Jangka,pulau,Sulawesi Selatan,Selayar,-6.341436,120.447958,,
Pulau Batu Kallong,pulau,Sulawesi Selatan,Selayar,-7.420083,121.786133,,
Pulau Batu Lajaraha,pulau,Sulawesi Selatan,Selayar,-5.844506,120.530781,,
Pulau Batu Lajarate,pulau,Sulawesi Selatan,Selayar,-5.844378,120.530717,,
Pulau Batu Lontolonto,pulau,Sulawesi Selatan,Selayar,-7.419411,121.786847,,
Pulau Batu Pangnyu,pulau,Sulawesi Selatan,Bulukumba,-5.7389,120.489611,,
Pulau Batu Remba,pulau,Sulawesi Selatan,Selayar,-7.104244,120.588489,,
Pulau Batu Siasia,pulau,Sulawesi Selatan,Selayar,-6.20435,120.443719,,
Pulau Batu Silangga,pulau,Sulawesi Selatan,Selayar,-7.108733,120.59045,,
Pulau Batu Sipoong,pulau,Sulawesi Selatan,Selayar,-6.695131,120.426836,,
Pulau Batu Sobbolo,pulau,Sulawesi Selatan,Selayar,-6.382894,120.454133,,
Pulau Batu Surut Raha,pulau,Sulawesi Selatan,Selayar,-6.205936,120.444892,,
Pulau Batu Surut Rate,pulau,Sulawesi Selatan,Selayar,-6.207367,120.44535,,
Pulau Batu Tokong,pulau,Sulawesi Selatan,Selayar,-6.814292,120.783786,,
Pulau Batu Tokong Ki'di',pulau,Sulawesi Selatan,Selayar,-6.816683,120.7859,,
Pulau Bonelukmuia,pulau,Sulawesi Selatan,Bulukumba,-5.745772,120.490247,,
Pulau Bungingtinabo,pulau,Sulawesi Selatan,Selayar,-6.571217,121.0579,,
Pulau Bungingwanti,pulau,Sulawesi Selatan,Selayar,-7.488611,121.802778,,
Pulau Bungione,pulau,Sulawesi Selatan,Selayar,-7.2175,121.551667,,
Pulau Bungisapalatondu,pulau,Sulawesi Selatan,Selayar,-6.493694,121.056472,,
Pulau Gusung Tallang,pulau,Sulawesi Selatan,Selayar,-6.117219,120.419719,,
Pulau Idaman,pulau,Sulawesi Selatan,Selayar,-7.057614,120.538328,,https://upload.wikimedia.org/wikipedia/commons/f/ff/Pulau_Idaman-Sulbarkitacom.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled
Pulau Impian,pulau,Sulawesi Selatan,Selayar,-7.060428,120.536981,,
Pulau Karang Bako,pulau,Sulawesi Selatan,Selayar,-7.306294,121.100011,,
Pulau Karang Lealea Appa',pulau,Sulawesi Selatan,Selayar,-7.352814,121.167175,,
Pulau Karang Lealea Rua,pulau,Sulawesi Selatan,Selayar,-7.348725,121.166281,,
Pulau Karang Lealea Se're,pulau,Sulawesi Selatan,Selayar,-7.345092,121.162303,,
Pulau Karang Lealea Tallu,pulau,Sulawesi Selatan,Selayar,-7.351761,121.166925,,
Pulau Kayupanga Lau',pulau,Sulawesi Selatan,Selayar,-7.463286,121.420989,,
Pulau Koncularuka,pulau,Sulawesi Selatan,Selayar,-7.281611,121.728831,,
Pulau Kukusang,pulau,Sulawesi Selatan,Selayar,-6.656625,120.426975,,
Pulau Mandeh,pulau,Sulawesi Selatan,Selayar,-6.649167,120.426389,,
Pulau Oputonde,pulau,Sulawesi Selatan,Selayar,-6.231586,120.529281,,
Pulau Pandan,pulau,Sulawesi Selatan,Selayar,-6.346269,120.451378,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Pulau_Pandan_-_panoramio_%281%29.jpg/960px-Pulau_Pandan_-_panoramio_%281%29.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Pulau Sanisani,pulau,Sulawesi Selatan,Selayar,-6.983878,120.510008,,
Pulau Segitora,pulau,Sulawesi Selatan,Selayar,-6.232939,120.445328,,
Pulau Senapang,pulau,Sulawesi Selatan,Selayar,-7.040664,120.618119,,
Pulau Sowala,pulau,Sulawesi Selatan,Selayar,-7.064747,120.567639,,
Pulau Sulapa,pulau,Sulawesi Selatan,Selayar,-6.643889,120.440278,,
Pulau Tetera Ki'di',pulau,Sulawesi Selatan,Selayar,-7.3678,121.045892,,
Pulau Tokong Bakka,pulau,Sulawesi Selatan,Selayar,-6.236753,120.445178,,
Pulau Tokong Ki'di',pulau,Sulawesi Selatan,Selayar,-6.246342,120.446572,,
Pulau Manyu,pulau,Sulawesi Selatan,Selayar,-6.879394,120.792122,,
Pulau Gebe,pulau,Maluku,Maluku Tengah,-0.060831,129.426942,,
Pulau Talena,pulau,Sumatera Barat,Kota Padang,-0.999975,100.376175,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Teluk_Bayur_Harbour1.jpg/960px-Teluk_Bayur_Harbour1.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Pulau Angso Duo,pulau,Sumatera Barat,Kota Pariaman,-0.633333,100.098611,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Pulau_Angso_Duo_-_panoramio.jpg/960px-Pulau_Angso_Duo_-_panoramio.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Pulau%20Angso%20Duo%20-%20panoramio.jpg?width=800
Pulau Bromo,pulau,Kalimantan Tengah,Kota Palangka Raya,-3.344719,114.5475,,
Pulau Batubejanggut,pulau,Kalimantan Tengah,Kota Palangka Raya,-3.921667,114.614444,,
Pulau Basarpandan,pulau,Kalimantan Selatan,Kotabaru,-2.853889,116.082219,,
Pulau Dupa,pulau,Kalimantan Tengah,Kota Palangka Raya,-3.458889,114.522219,,
Pulau Gunung Tulangan,pulau,Kalimantan Selatan,Kotabaru,-2.817219,116.117219,,
Pulau Langadai,pulau,Kalimantan Selatan,Kotabaru,-3.239719,116.174719,,
Pulau Sepakat,pulau,Kalimantan Tengah,Kota Palangka Raya,-3.456111,114.520831,,
Pulau Pelanduk,pulau,Kalimantan Utara,Nunukan,4.081975,117.483419,,
Pulau Pulibulu,pulau,Kalimantan Utara,Kota Tarakan,4.045192,117.480575,,
Pulau Sekapal,pulau,Kalimantan Utara,Nunukan,4.148117,117.535764,,
Pulau Sinualan,pulau,Kalimantan Utara,Kota Tarakan,4.013694,117.457281,,
Pulau Akekusang,pulau,Sumatera Selatan,Banyuasin,-1.6375,105.686667,,
Pulau Ikan,pulau,Sumatera Utara,Kota Padangsidimpuan,0.257458,99.261917,,
Pulau Bangke,pulau,Aceh,Aceh Tenggara,1.681714,98.547647,,
Pulau Pacabla Sigoiso,pulau,Sumatera Barat,Kepulauan Mentawai,-3.206389,100.449722,,
Pulau Tuantahir,pulau,Sumatera Utara,Kota Tanjungbalai,2.963611,99.812778,,
Pulau Anak Mandah,pulau,Riau,Indragiri Hilir,0.02575,103.5,,
Pulau Betingan,pulau,Banten,Kota Tangerang Selatan,-6.002194,106.630253,,
Pulau Nibuang Sungai Nipah,pulau,Sumatera Barat,Pesisir Selatan,-1.327742,100.562017,,
Pulau Airlabuh,pulau,Kepulauan Bangka Belitung,Belitung,-2.554886,107.668267,,
Pulau Anakaik,pulau,Sumatera Selatan,Banyuasin,-2.963331,106.6725,,
Pulau Batuberenguh,pulau,Sumatera Selatan,Banyuasin,-2.211111,105.7825,,
Pulau Dodaweweda,pulau,Maluku,Maluku Tengah,-0.550656,128.323911,,
Pulau Batuah,pulau,Sumatera Utara,Kota Tanjungbalai,2.579167,99.987778,,
Pulau Buaya,pulau,Sumatera Utara,Kota Tanjungbalai,2.987222,99.803333,,
Pulau Laplap,pulau,Sumatera Barat,Kota Pariaman,-1.469431,99.171069,,
Pulau Sikantan,pulau,Sumatera Utara,Kota Tanjungbalai,2.508889,100.161389,,
Pulau Sarimas,pulau,Sumatera Utara,Kota Tanjungbalai,2.585,100.008889,,
Pulau Porling,pulau,Sumatera Utara,Kota Tanjungbalai,2.593611,100.000278,,
Pulau Ongah Labuhan,pulau,Sumatera Utara,Kota Tanjungbalai,2.589442,100.114719,,
Pulau Harapan Cincin,pulau,Sumatera Utara,Kota Tanjungbalai,2.540833,99.958611,,
Pulau Hachina,pulau,Sumatera Barat,Agam,-0.053344,98.325911,,
Pulau Juragan,pulau,Sumatera Utara,Kota Tanjungbalai,2.563889,99.97,,
Pulau Batu Basanggua,pulau,Sumatera Barat,Pesisir Selatan,-1.19975,100.43045,,
Pulau Batudandang Selatan,pulau,Sumatera Barat,Pesisir Selatan,-1.375,100.558611,,
Pulau Taraju,pulau,Sumatera Barat,Pesisir Selatan,-1.181794,100.396419,,
Pulau Nibuang Cubadak,pulau,Sumatera Barat,Pesisir Selatan,-1.230844,100.396119,,
Gua Embultuk,gua,Jawa Timur,Blitar,-8.299744,112.10254,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/GUA_EMBULTUK_%282%29.jpg/960px-GUA_EMBULTUK_%282%29.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail
Gua Selarong,gua,Jawa Tengah,Kota Magelang,-7.871682,110.295136,,
Gua Pawon,gua,Jawa Barat,Kota Bandung,-6.823602,107.436292,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Gua_Pawon.jpg/960px-Gua_Pawon.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Gua%20Pawon.jpg?width=800
Goa Jatijajar,gua,Jawa Tengah,Kebumen,-7.672778,109.428333,,https://upload.wikimedia.org/wikipedia/commons/a/aa/Goa_jati_jajar_ayah_kebumen.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled|https://commons.wikimedia.org/wiki/Special:FilePath/Goa%20jati%20jajar%20ayah%20kebumen.jpg?width=800
Goa Lawah,gua,Bali,Bangli,-8.5516,115.4689,,https://commons.wikimedia.org/wiki/Special:FilePath/Goa%20Lawah%20Bali53.jpg?width=800
Gua Batu Cermin,gua,Nusa Tenggara Timur,Manggarai Barat,-8.479371,119.89919,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Mirror_Stone_Cave%2C_Flores%2C_Indonesia%2C_20250827_0933_3883.jpg/960px-Mirror_Stone_Cave%2C_Flores%2C_Indonesia%2C_20250827_0933_3883.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Mirror%20Stone%20Cave%2C%20Flores%2C%20Indonesia%2C%2020250827%200933%203883.jpg?width=800
Gua Selomangleng,gua,Jawa Timur,Kediri,-7.807209,111.972683,,
Gua Jomblang,gua,Jawa Tengah,Kota Surakarta,-8.028103,110.637989,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Jomblang_Cave_-_Indonesia_04.jpg/960px-Jomblang_Cave_-_Indonesia_04.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Jomblang%20Cave%20-%20Indonesia%2004.jpg?width=800
Goa Petruk,gua,Jawa Tengah,Kebumen,-7.704056,109.398194,,
Gua Akbar,gua,Jawa Timur,Tuban,-6.905421,112.060555,,
Gua Lowo,gua,Jawa Timur,Trenggalek,-8.07641,111.70604,,
Guo Inyiak Janun,gua,Sumatera Barat,Agam,-0.265661,100.305097,,https://upload.wikimedia.org/wikipedia/commons/2/2d/Gua_Inyiak_Lasun_%286%29.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled|https://commons.wikimedia.org/wiki/Special:FilePath/Gua%20Inyiak%20Lasun%20%286%29.jpg?width=800
Gua Gong,gua,Jawa Timur,Pacitan,-8.164475,110.979958,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Gua_Gong.jpg/960px-Gua_Gong.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Gua%20Gong.jpg?width=800
Gua Mampu,gua,Sulawesi Selatan,Bone,-4.326651,120.223717,,
Gua Togi Ndrawa,gua,Sumatera Utara,Kota Sibolga,1.294482,97.592426,,https://upload.wikimedia.org/wikipedia/commons/b/b0/Goa_Togi_Ndrawa.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled|https://commons.wikimedia.org/wiki/Special:FilePath/Goa%20Togi%20Ndrawa.jpg?width=800
Gua Ngesong,gua,Jawa Timur,Jombang,-7.674641,112.349395,,https://upload.wikimedia.org/wikipedia/commons/6/6c/Gua_Ngesong.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled|https://commons.wikimedia.org/wiki/Special:FilePath/Gua%20Ngesong.jpg?width=800
Gua Liang Bangkai,gua,Kalimantan Tengah,Kota Palangka Raya,-3.202396,115.797222,,https://commons.wikimedia.org/wiki/Special:FilePath/Goa%20Liang%20Bangkai.jpg?width=800
Gua Batu Tunggal,gua,Kalimantan Tengah,Kota Palangka Raya,-3.195716,115.975714,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Goa_Lowo_Kotabaru_001.JPG/960px-Goa_Lowo_Kotabaru_001.JPG?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Goa%20Lowo%20Kotabaru%20001.JPG?width=800
Danau Maninjau,danau,Sumatera Barat,Agam,-0.316667,100.2,,https://upload.wikimedia.org/wikipedia/commons/f/f3/Maninjau.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled|https://commons.wikimedia.org/wiki/Special:FilePath/LakeManinjau1.jpg?width=800
Danau Linouw,danau,Sulawesi Utara,Kota Tomohon,1.270833,124.826389,,https://upload.wikimedia.org/wikipedia/commons/1/14/Danu_Linow.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled|https://commons.wikimedia.org/wiki/Special:FilePath/Danu%20Linow.jpg?width=800
Danau Tondano,danau,Sulawesi Utara,Minahasa,1.225,124.9,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Lake_Tondano_drone_view.jpg/960px-Lake_Tondano_drone_view.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Danau%20Tondano.jpg?width=800
Danau Poso,danau,Sulawesi Tengah,Poso,-1.97955,120.6601,,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Poso_Lake_from_Padamarari.jpg/960px-Poso_Lake_from_Padamarari.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Danau%20poso%20scene-sulawesi%20tengah-indonesia.jpg?width=800
Waduk Malahayu,danau,Jawa Tengah,Cilacap,-7.036389,108.807778,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Waduk_Malahayu.jpg/960px-Waduk_Malahayu.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Waduk%20Malahayu.jpg?width=800
Danau Sentani,danau,Papua,Kota Jayapura,-2.6122,140.5172,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Sentani_Lake.jpg/960px-Sentani_Lake.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Sentani%20Lake.jpg?width=800
Ranu Kumbolo,danau,Jawa Timur,Kota Malang,-8.05,112.916667,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Ranu_Kumbolo.jpg/960px-Ranu_Kumbolo.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Ranu%20Kumbolo.jpg?width=800
Ranu Pani,danau,Jawa Timur,Kota Malang,-8.012778,112.946111,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Frost_in_Ranu_Pani_on_4_August_2018_by_Susanto_Tan.jpg/960px-Frost_in_Ranu_Pani_on_4_August_2018_by_Susanto_Tan.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Ranu%20Pani%2C%20semeru.jpg?width=800
Danau Gunung Tujuh,danau,Jambi,Kerinci,-1.7,101.41667,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Danau_Gunung_Tujuh.jpg/960px-Danau_Gunung_Tujuh.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Tujuh1.jpg?width=800
Danau Tempe,danau,Sulawesi Selatan,Soppeng,-4.1178,119.9527,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Floating_houses_on_Lake_Tempe.jpg/960px-Floating_houses_on_Lake_Tempe.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail|https://commons.wikimedia.org/wiki/Special:FilePath/Sengkang%27s%20Floating%20Village%20scenery.jpg?width=800
Danau Mahalona,danau,Sulawesi Tengah,Poso,-2.59472,121.495,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/The_Crystal_Clear_of_Mahalona_Lake.jpg/960px-The_Crystal_Clear_of_Mahalona_Lake.jpg?utm_source=id.wikipedia.org&utm_campaign=api&utm_content=thumbnail
